2024-01-25 10:15:34.178 +07:00 [INF] Now listening on: http://localhost:5000
2024-01-25 10:15:34.203 +07:00 [INF] Application started. Press Ctrl+C to shut down.
2024-01-25 10:15:34.205 +07:00 [INF] Hosting environment: Development
2024-01-25 10:15:34.206 +07:00 [INF] Content root path: D:\Project\Reactivities\API
2024-01-25 10:15:35.891 +07:00 [WRN] Failed to determine the https port for redirect.
2024-01-25 10:15:35.971 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 1.1511 ms
2024-01-25 10:15:36.243 +07:00 [INF] HTTP GET /api/account responded 200 in 207.7825 ms
2024-01-25 10:15:38.793 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.3005 ms
2024-01-25 10:15:39.013 +07:00 [INF] HTTP GET /api/activities responded 200 in 209.1477 ms
2024-01-25 10:15:43.357 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.3016 ms
2024-01-25 10:15:43.422 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 58.3702 ms
2024-01-25 10:27:04.479 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0568 ms
2024-01-25 10:27:04.512 +07:00 [INF] HTTP GET /api/account responded 200 in 20.1430 ms
2024-01-25 10:27:05.537 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0982 ms
2024-01-25 10:27:05.545 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 4.2551 ms
2024-01-25 10:27:45.925 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0846 ms
2024-01-25 10:27:45.945 +07:00 [INF] HTTP GET /api/account responded 200 in 4.2421 ms
2024-01-25 10:27:47.605 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0707 ms
2024-01-25 10:27:47.611 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.5889 ms
2024-01-25 10:27:57.006 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.1190 ms
2024-01-25 10:27:57.017 +07:00 [INF] HTTP GET /api/account responded 200 in 2.9557 ms
2024-01-25 10:27:58.052 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.5524 ms
2024-01-25 10:27:58.060 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.1464 ms
2024-01-25 10:28:00.412 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.1676 ms
2024-01-25 10:28:00.451 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 29.6879 ms
2024-01-25 10:28:14.175 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0885 ms
2024-01-25 10:28:14.182 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.1640 ms
2024-01-25 10:28:18.197 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.1481 ms
2024-01-25 10:28:18.204 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.5512 ms
2024-01-25 10:28:21.809 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.6613 ms
2024-01-25 10:28:26.031 +07:00 [INF] HTTP OPTIONS /api/profiles/tom responded 204 in 0.1148 ms
2024-01-25 10:28:26.038 +07:00 [INF] HTTP GET /api/profiles/tom responded 200 in 1.8956 ms
2024-01-25 10:28:28.360 +07:00 [INF] HTTP OPTIONS /api/Following/tom responded 204 in 0.0645 ms
2024-01-25 10:28:28.461 +07:00 [INF] HTTP POST /api/Following/tom responded 200 in 97.3258 ms
2024-01-25 10:28:30.524 +07:00 [INF] HTTP POST /api/Following/tom responded 200 in 17.1239 ms
2024-01-25 10:28:35.649 +07:00 [INF] HTTP OPTIONS /api/profiles/jane responded 204 in 0.0825 ms
2024-01-25 10:28:35.655 +07:00 [INF] HTTP GET /api/profiles/jane responded 200 in 1.8622 ms
2024-01-25 10:28:37.490 +07:00 [INF] HTTP OPTIONS /api/Following/jane responded 204 in 0.0507 ms
2024-01-25 10:28:37.500 +07:00 [INF] HTTP POST /api/Following/jane responded 200 in 6.6078 ms
2024-01-25 10:28:41.874 +07:00 [INF] HTTP OPTIONS /api/Following/jane responded 204 in 0.0820 ms
2024-01-25 10:28:41.882 +07:00 [INF] HTTP GET /api/Following/jane responded 200 in 2.7157 ms
2024-01-25 10:28:51.608 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0357 ms
2024-01-25 10:28:51.616 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.5991 ms
2024-01-25 10:28:54.209 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0287 ms
2024-01-25 10:28:54.218 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 3.6014 ms
2024-01-25 10:30:57.011 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.1404 ms
